E Melodic Minor, Cycle 2
A  F♯ E  C♯     F♯m7
G  F♯ D♯ B      Gaug(maj7)
G  E  C♯ A      A7
F♯ D♯ B  A      B7
E  C♯ B  G      C♯ø
D♯ C♯ A  F♯     D♯ø
D♯ B  G  E      Em(maj7)
C♯ A  F♯ E      F♯m7
B  G  F♯ D♯     Gaug(maj7)
A  G  E  C♯     A7
A  F♯ D♯ B      B7
G  E  C♯ B      C♯ø
F♯ D♯ C♯ A      D♯ø
-------------------------
