F♯ Melodic Minor, Cycle 2
C♯ G♯ E♯ A      Aaug(maj7)
B  F♯ D♯ A      B7
B  E♯ C♯ G♯     C♯7
A  D♯ C♯ F♯     D♯ø
G♯ D♯ B  E♯     E♯ø
-------------------------
Double drop 2 drop 3: (1 7 5 3) --> (7 5 3 1)
F♯ E♯ C♯ A      F♯m(maj7)
F♯ D♯ B  G♯     G♯m7
E♯ C♯ A  G♯     Aaug(maj7)
D♯ B  A  F♯     B7
C♯ B  G♯ E♯     C♯7
C♯ A  F♯ D♯     D♯ø
B  G♯ E♯ D♯     E♯ø
A  F♯ E♯ C♯     F♯m(maj7)
G♯ F♯ D♯ B      G♯m7
G♯ E♯ C♯ A      Aaug(maj7)
F♯ D♯ B  A      B7
E♯ C♯ B  G♯     C♯7
D♯ C♯ A  F♯     D♯ø
D♯ B  G♯ E♯     E♯ø
C♯ A  F♯ E♯     F♯m(maj7)
B  G♯ F♯ D♯     G♯m7
A  G♯ E♯ C♯     Aaug(maj7)
A  F♯ D♯ B      B7
G♯ E♯ C♯ B      C♯7
F♯ D♯ C♯ A      D♯ø
E♯ D♯ B  G♯     E♯ø
E♯ C♯ A  F♯     F♯m(maj7)
D♯ B  G♯ F♯     G♯m7
C♯ A  G♯ E♯     Aaug(maj7)
B  A  F♯ D♯     B7
B  G♯ E♯ C♯     C♯7
A  F♯ D♯ C♯     D♯ø
G♯ E♯ D♯ B      E♯ø
-------------------------
