C♯ Harmonic Minor, Cycle 7
G♯ B♯ E  A      Am(maj7)
G♯ D♯ F♯ A      G♯
G♯ E  F♯ C♯     F♯
B♯ E  F♯ D♯     E
C♯ E  A  D♯     D♯
-------------------------
Drop 3: (1 7 2 5) --> (2 1 5 7)
C♯ B♯ D♯ G♯     C♯
C♯ B♯ F♯ A      B♯
E  B♯ G♯ A      Am(maj7)
F♯ D♯ G♯ A      G♯
F♯ E  G♯ C♯     F♯
F♯ E  B♯ D♯     E
A  E  C♯ D♯     D♯
B♯ G♯ C♯ D♯     C♯
B♯ A  C♯ F♯     B♯
B♯ A  E  G♯     Am(maj7)
D♯ A  F♯ G♯     G♯
E  C♯ F♯ G♯     F♯
E  D♯ F♯ B♯     E
E  D♯ A  C♯     D♯
G♯ D♯ B♯ C♯     C♯
A  F♯ B♯ C♯     B♯
A  G♯ B♯ E      Am(maj7)
A  G♯ D♯ F♯     G♯
C♯ G♯ E  F♯     F♯
D♯ B♯ E  F♯     E
D♯ C♯ E  A      D♯
D♯ C♯ G♯ B♯     C♯
F♯ C♯ A  B♯     B♯
G♯ E  A  B♯     Am(maj7)
G♯ F♯ A  D♯     G♯
G♯ F♯ C♯ E      F♯
B♯ F♯ D♯ E      E
C♯ A  D♯ E      D♯
-------------------------
Drop 2 and 3: (1 2 7 5) --> (2 5 1 7)
C♯ D♯ B♯ G♯     C♯
C♯ F♯ B♯ A      B♯
E  G♯ B♯ A      Am(maj7)
F♯ G♯ D♯ A      G♯
F♯ G♯ E  C♯     F♯
F♯ B♯ E  D♯     E
A  C♯ E  D♯     D♯
B♯ C♯ G♯ D♯     C♯
B♯ C♯ A  F♯     B♯
B♯ E  A  G♯     Am(maj7)
D♯ F♯ A  G♯     G♯
E  F♯ C♯ G♯     F♯
E  F♯ D♯ B♯     E
E  A  D♯ C♯     D♯
G♯ B♯ D♯ C♯     C♯
A  B♯ F♯ C♯     B♯
A  B♯ G♯ E      Am(maj7)
A  D♯ G♯ F♯     G♯
C♯ E  G♯ F♯     F♯
D♯ E  B♯ F♯     E
D♯ E  C♯ A      D♯
D♯ G♯ C♯ B♯     C♯
F♯ A  C♯ B♯     B♯
G♯ A  E  B♯     Am(maj7)
G♯ A  F♯ D♯     G♯
G♯ C♯ F♯ E      F♯
B♯ D♯ F♯ E      E
C♯ D♯ A  E      D♯
-------------------------
Drop 2 and 4: (1 5 2 7) --> (2 7 5 1)
C♯ G♯ D♯ B♯     C♯
C♯ A  F♯ B♯     B♯
E  A  G♯ B♯     Am(maj7)
F♯ A  G♯ D♯     G♯
F♯ C♯ G♯ E      F♯
F♯ D♯ B♯ E      E
A  D♯ C♯ E      D♯
B♯ D♯ C♯ G♯     C♯
B♯ F♯ C♯ A      B♯
B♯ G♯ E  A      Am(maj7)
D♯ G♯ F♯ A      G♯
E  G♯ F♯ C♯     F♯
E  B♯ F♯ D♯     E
E  C♯ A  D♯     D♯
G♯ C♯ B♯ D♯     C♯
A  C♯ B♯ F♯     B♯
A  E  B♯ G♯     Am(maj7)
A  F♯ D♯ G♯     G♯
C♯ F♯ E  G♯     F♯
D♯ F♯ E  B♯     E
D♯ A  E  C♯     D♯
D♯ B♯ G♯ C♯     C♯
F♯ B♯ A  C♯     B♯
G♯ B♯ A  E      Am(maj7)
G♯ D♯ A  F♯     G♯
G♯ E  C♯ F♯     F♯
B♯ E  D♯ F♯     E
C♯ E  D♯ A      D♯
-------------------------
Double drop 2 drop 3: (1 7 5 2) --> (2 1 7 5)
C♯ B♯ G♯ D♯     C♯
C♯ B♯ A  F♯     B♯
E  B♯ A  G♯     Am(maj7)
F♯ D♯ A  G♯     G♯
F♯ E  C♯ G♯     F♯
F♯ E  D♯ B♯     E
A  E  D♯ C♯     D♯
B♯ G♯ D♯ C♯     C♯
B♯ A  F♯ C♯     B♯
B♯ A  G♯ E      Am(maj7)
D♯ A  G♯ F♯     G♯
E  C♯ G♯ F♯     F♯
E  D♯ B♯ F♯     E
E  D♯ C♯ A      D♯
G♯ D♯ C♯ B♯     C♯
A  F♯ C♯ B♯     B♯
A  G♯ E  B♯     Am(maj7)
A  G♯ F♯ D♯     G♯
C♯ G♯ F♯ E      F♯
D♯ B♯ F♯ E      E
D♯ C♯ A  E      D♯
D♯ C♯ B♯ G♯     C♯
F♯ C♯ B♯ A      B♯
G♯ E  B♯ A      Am(maj7)
G♯ F♯ D♯ A      G♯
G♯ F♯ E  C♯     F♯
B♯ F♯ E  D♯     E
C♯ A  E  D♯     D♯
-------------------------
