C♯ Harmonic Minor, Cycle 3
C♯ A  D♯ B♯     B♯
D♯ F♯ E  C♯     D♯
E  G♯ F♯ A      F♯
C♯ A  G♯ B♯     A
D♯ B♯ E  C♯     C♯
E  G♯ F♯ D♯     E
F♯ A  G♯ B♯     G♯
D♯ B♯ A  C♯     B♯
E  C♯ F♯ D♯     D♯
F♯ A  G♯ E      F♯
G♯ B♯ A  C♯     A
E  C♯ B♯ D♯     C♯
F♯ D♯ G♯ E      E
G♯ B♯ A  F♯     G♯
A  C♯ B♯ D♯     B♯
F♯ D♯ C♯ E      D♯
G♯ E  A  F♯     F♯
A  C♯ B♯ G♯     A
B♯ D♯ C♯ E      C♯
G♯ E  D♯ F♯     E
A  F♯ B♯ G♯     G♯
B♯ D♯ C♯ A      B♯
C♯ E  D♯ F♯     D♯
A  F♯ E  G♯     F♯
B♯ G♯ C♯ A      A
-------------------------
Double drop 2 drop 3: (1 7 3 2) --> (7 3 2 1)
C♯ B♯ E  D♯     C♯
D♯ G♯ F♯ E      E
B♯ A  G♯ F♯     G♯
C♯ B♯ A  D♯     B♯
D♯ C♯ F♯ E      D♯
E  A  G♯ F♯     F♯
C♯ B♯ A  G♯     A
D♯ C♯ B♯ E      C♯
E  D♯ G♯ F♯     E
F♯ B♯ A  G♯     G♯
D♯ C♯ B♯ A      B♯
E  D♯ C♯ F♯     D♯
F♯ E  A  G♯     F♯
G♯ C♯ B♯ A      A
E  D♯ C♯ B♯     C♯
F♯ E  D♯ G♯     E
G♯ F♯ B♯ A      G♯
A  D♯ C♯ B♯     B♯
F♯ E  D♯ C♯     D♯
G♯ F♯ E  A      F♯
A  G♯ C♯ B♯     A
B♯ E  D♯ C♯     C♯
G♯ F♯ E  D♯     E
A  G♯ F♯ B♯     G♯
B♯ A  D♯ C♯     B♯
C♯ F♯ E  D♯     D♯
A  G♯ F♯ E      F♯
B♯ A  G♯ C♯     A
-------------------------
