F Harmonic Minor, Cycle 5
C  A♭ D♭ E      D♭m(maj7)
A♭ G  B♭ E      A♭
F  E  B♭ D♭     E
F  C  A♭ B♭     B♭
E  C  F  G      F
C  B♭ D♭ G      C
A♭ G  D♭ F      G
A♭ E  C  D♭     D♭m(maj7)
G  E  A♭ B♭     A♭
E  D♭ F  B♭     E
C  B♭ F  A♭     B♭
C  G  E  F      F
B♭ G  C  D♭     C
G  F  A♭ D♭     G
E  D♭ A♭ C      D♭m(maj7)
E  B♭ G  A♭     A♭
D♭ B♭ E  F      E
B♭ A♭ C  F      B♭
G  F  C  E      F
G  D♭ B♭ C      C
F  D♭ G  A♭     G
D♭ C  E  A♭     D♭m(maj7)
B♭ A♭ E  G      A♭
B♭ F  D♭ E      E
A♭ F  B♭ C      B♭
-------------------------
Drop 2 and 3: (1 2 7 5) --> (2 5 1 7)
F  G  E  C      F
D♭ G  C  B♭     C
D♭ F  A♭ G      G
C  D♭ A♭ E      D♭m(maj7)
A♭ B♭ G  E      A♭
F  B♭ E  D♭     E
F  A♭ C  B♭     B♭
E  F  C  G      F
C  D♭ B♭ G      C
A♭ D♭ G  F      G
A♭ C  E  D♭     D♭m(maj7)
G  A♭ E  B♭     A♭
E  F  D♭ B♭     E
C  F  B♭ A♭     B♭
C  E  G  F      F
B♭ C  G  D♭     C
G  A♭ F  D♭     G
E  A♭ D♭ C      D♭m(maj7)
E  G  B♭ A♭     A♭
D♭ E  B♭ F      E
B♭ C  A♭ F      B♭
G  C  F  E      F
G  B♭ D♭ C      C
F  G  D♭ A♭     G
D♭ E  C  A♭     D♭m(maj7)
B♭ E  A♭ G      A♭
B♭ D♭ F  E      E
A♭ B♭ F  C      B♭
-------------------------
Drop 2 and 4: (1 5 2 7) --> (5 1 7 2)
F  C  G  E      F
G  C  B♭ D♭     C
G  D♭ A♭ F      G
A♭ D♭ C  E      D♭m(maj7)
A♭ E  B♭ G      A♭
B♭ E  D♭ F      E
B♭ F  C  A♭     B♭
C  F  E  G      F
C  G  D♭ B♭     C
D♭ G  F  A♭     G
D♭ A♭ E  C      D♭m(maj7)
E  A♭ G  B♭     A♭
E  B♭ F  D♭     E
F  B♭ A♭ C      B♭
Alternate Voicing:
C  G  E  F      F
D♭ G  C  B♭     C
D♭ A♭ F  G      G
E  A♭ D♭ C      D♭m(maj7)
E  B♭ G  A♭     A♭
F  B♭ E  D♭     E
F  C  A♭ B♭     B♭
G  C  F  E      F
G  D♭ B♭ C      C
A♭ D♭ G  F      G
A♭ E  C  D♭     D♭m(maj7)
B♭ E  A♭ G      A♭
B♭ F  D♭ E      E
C  F  B♭ A♭     B♭
-------------------------
Double drop 2 drop 3: (1 7 5 2) --> (5 2 1 7)
F  E  C  G      F
G  D♭ C  B♭     C
G  F  D♭ A♭     G
A♭ E  D♭ C      D♭m(maj7)
A♭ G  E  B♭     A♭
B♭ F  E  D♭     E
B♭ A♭ F  C      B♭
C  G  F  E      F
C  B♭ G  D♭     C
D♭ A♭ G  F      G
D♭ C  A♭ E      D♭m(maj7)
E  B♭ A♭ G      A♭
E  D♭ B♭ F      E
F  C  B♭ A♭     B♭
Alternate Voicing:
E  C  G  F      F
D♭ C  B♭ G      C
F  D♭ A♭ G      G
E  D♭ C  A♭     D♭m(maj7)
G  E  B♭ A♭     A♭
F  E  D♭ B♭     E
A♭ F  C  B♭     B♭
G  F  E  C      F
B♭ G  D♭ C      C
A♭ G  F  D♭     G
C  A♭ E  D♭     D♭m(maj7)
B♭ A♭ G  E      A♭
D♭ B♭ F  E      E
C  B♭ A♭ F      B♭
-------------------------
