G Harmonic Minor, Cycle 5
D  B♭ E♭ F♯     E♭m(maj7)
B♭ A  C  F♯     B♭
G  F♯ C  E♭     F♯
G  D  B♭ C      C
F♯ D  G  A      G
D  C  E♭ A      D
B♭ A  E♭ G      A
B♭ F♯ D  E♭     E♭m(maj7)
A  F♯ B♭ C      B♭
F♯ E♭ G  C      F♯
D  C  G  B♭     C
D  A  F♯ G      G
C  A  D  E♭     D
A  G  B♭ E♭     A
F♯ E♭ B♭ D      E♭m(maj7)
F♯ C  A  B♭     B♭
E♭ C  F♯ G      F♯
C  B♭ D  G      C
A  G  D  F♯     G
A  E♭ C  D      D
G  E♭ A  B♭     A
E♭ D  F♯ B♭     E♭m(maj7)
C  B♭ F♯ A      B♭
C  G  E♭ F♯     F♯
B♭ G  C  D      C
-------------------------
Drop 2 and 3: (1 2 7 5) --> (2 5 1 7)
G  A  F♯ D      G
E♭ A  D  C      D
E♭ G  B♭ A      A
D  E♭ B♭ F♯     E♭m(maj7)
B♭ C  A  F♯     B♭
G  C  F♯ E♭     F♯
G  B♭ D  C      C
F♯ G  D  A      G
D  E♭ C  A      D
B♭ E♭ A  G      A
B♭ D  F♯ E♭     E♭m(maj7)
A  B♭ F♯ C      B♭
F♯ G  E♭ C      F♯
D  G  C  B♭     C
D  F♯ A  G      G
C  D  A  E♭     D
A  B♭ G  E♭     A
F♯ B♭ E♭ D      E♭m(maj7)
F♯ A  C  B♭     B♭
E♭ F♯ C  G      F♯
C  D  B♭ G      C
A  D  G  F♯     G
A  C  E♭ D      D
G  A  E♭ B♭     A
E♭ F♯ D  B♭     E♭m(maj7)
C  F♯ B♭ A      B♭
C  E♭ G  F♯     F♯
B♭ C  G  D      C
-------------------------
Drop 2 and 4: (1 5 2 7) --> (5 1 7 2)
G  D  A  F♯     G
A  D  C  E♭     D
A  E♭ B♭ G      A
B♭ E♭ D  F♯     E♭m(maj7)
B♭ F♯ C  A      B♭
C  F♯ E♭ G      F♯
C  G  D  B♭     C
D  G  F♯ A      G
D  A  E♭ C      D
E♭ A  G  B♭     A
E♭ B♭ F♯ D      E♭m(maj7)
F♯ B♭ A  C      B♭
F♯ C  G  E♭     F♯
G  C  B♭ D      C
Alternate Voicing:
D  A  F♯ G      G
E♭ A  D  C      D
E♭ B♭ G  A      A
F♯ B♭ E♭ D      E♭m(maj7)
F♯ C  A  B♭     B♭
G  C  F♯ E♭     F♯
G  D  B♭ C      C
A  D  G  F♯     G
A  E♭ C  D      D
B♭ E♭ A  G      A
B♭ F♯ D  E♭     E♭m(maj7)
C  F♯ B♭ A      B♭
C  G  E♭ F♯     F♯
D  G  C  B♭     C
-------------------------
Double drop 2 drop 3: (1 7 5 2) --> (5 2 1 7)
G  F♯ D  A      G
A  E♭ D  C      D
A  G  E♭ B♭     A
B♭ F♯ E♭ D      E♭m(maj7)
B♭ A  F♯ C      B♭
C  G  F♯ E♭     F♯
C  B♭ G  D      C
D  A  G  F♯     G
D  C  A  E♭     D
E♭ B♭ A  G      A
E♭ D  B♭ F♯     E♭m(maj7)
F♯ C  B♭ A      B♭
F♯ E♭ C  G      F♯
G  D  C  B♭     C
Alternate Voicing:
F♯ D  A  G      G
E♭ D  C  A      D
G  E♭ B♭ A      A
F♯ E♭ D  B♭     E♭m(maj7)
A  F♯ C  B♭     B♭
G  F♯ E♭ C      F♯
B♭ G  D  C      C
A  G  F♯ D      G
C  A  E♭ D      D
B♭ A  G  E♭     A
D  B♭ F♯ E♭     E♭m(maj7)
C  B♭ A  F♯     B♭
E♭ C  G  F♯     F♯
D  C  B♭ G      C
-------------------------
