D♯ Major, Cycle 5
G♯ E♯ C𝄪 D♯ 
B♯ D♯ A♯ G♯ 
A♯ F𝄪 D♯ E♯ 
C𝄪 E♯ B♯ A♯ 
B♯ G♯ E♯ F𝄪 
D♯ F𝄪 C𝄪 B♯ 
C𝄪 A♯ F𝄪 G♯ 
E♯ G♯ D♯ C𝄪 
D♯ B♯ G♯ A♯ 
F𝄪 A♯ E♯ D♯ 
E♯ C𝄪 A♯ B♯ 
G♯ B♯ F𝄪 E♯ 
F𝄪 D♯ B♯ C𝄪 
A♯ C𝄪 G♯ F𝄪 
-------------------------
Double drop 2 drop 3: (1 7 4 2) --> (4 2 1 7)
D♯ C𝄪 G♯ E♯ 
D♯ B♯ A♯ G♯ 
E♯ D♯ A♯ F𝄪 
E♯ C𝄪 B♯ A♯ 
F𝄪 E♯ B♯ G♯ 
F𝄪 D♯ C𝄪 B♯ 
G♯ F𝄪 C𝄪 A♯ 
G♯ E♯ D♯ C𝄪 
A♯ G♯ D♯ B♯ 
A♯ F𝄪 E♯ D♯ 
B♯ A♯ E♯ C𝄪 
B♯ G♯ F𝄪 E♯ 
C𝄪 B♯ F𝄪 D♯ 
C𝄪 A♯ G♯ F𝄪 
Alternate Voicing:
C𝄪 G♯ E♯ D♯ 
B♯ A♯ G♯ D♯ 
D♯ A♯ F𝄪 E♯ 
C𝄪 B♯ A♯ E♯ 
E♯ B♯ G♯ F𝄪 
D♯ C𝄪 B♯ F𝄪 
F𝄪 C𝄪 A♯ G♯ 
E♯ D♯ C𝄪 G♯ 
G♯ D♯ B♯ A♯ 
F𝄪 E♯ D♯ A♯ 
A♯ E♯ C𝄪 B♯ 
G♯ F𝄪 E♯ B♯ 
B♯ F𝄪 D♯ C𝄪 
A♯ G♯ F𝄪 C𝄪 
-------------------------
